"","year","make","model","price","mileage","ratings"
"183",2006,"Nissan","Sentra","3900","64457","2  "
"184",2008,"Subaru","Impreza","5997","111531","4.8  "
"185",2009,"Subaru","Forester","5872","136990","5  "
"186",2012,"BMW","550","22998","55000","4.3  "
"187",2013,"Audi","S4","18899","92346","4.4  "
"188",2011,"Honda","Accord","9399","80656","4.4  "
"189",2003,"Chevrolet","Tahoe","2299","232467","4.4  "
"190",2012,"INFINITI","M37","17390","58159","4.9  "
"191",2004,"Land","Rover","16898","87488","5  "
"192",2018,"Lexus","GX","47995","9333","4.9  "
"193",2012,"Nissan","Maxima","9995","51064","4.9  "
"194",2018,"Jeep","Grand","82400","1239","4.7  "
"195",2016,"Kia","Forte","8995","38344","4.7  "
"196",2017,"Chevrolet","Camaro","34900","20","4.9  "
"197",2008,"Toyota","Tacoma","7995","136355","5  "
"198",2017,"Chevrolet","Camaro","27500","13120","4.8  "
"199",2015,"INFINITI","Q50","22602","38656","4.4  "
"200",2010,"Cadillac","DTS","9998","71398","5  "
"201",2017,"Porsche","911","113987","591","5  "
"202",2012,"Nissan","Versa","8395","11513","3.2  "
"203",2009,"Toyota","Tacoma","14495","148338","4.2  "
"204",2009,"Lexus","LX","33989","51647","4.5  "
"205",2005,"Audi","allroad","4982","135456","4.5  "
"206",2014,"Jeep","Compass","8990","75717","4.6  "
"207",2018,"Audi","S4","43995","1735","5  "
"208",2007,"Toyota","Sienna","10995","55589","5  "
"209",2008,"Subaru","Outback","3398","149562","4.8  "
"210",2013,"Mazda","CX","9995","83000","5  "
"211",2015,"Mazda","Mazda3","8752","93381","4.8  "
"212",2015,"Land","Rover","27831","53231","4.9  "
"213",2009,"Toyota","Camry","6500","51680","4.5  "
"214",2013,"Toyota","RAV4","16898","68138","4.8  "
"215",2016,"Land","Rover","64900","39569","3.8  "
"216",2008,"Toyota","Prius","2990","266012","3  "
"217",2006,"GMC","Sierra","14995","64550","5  "
"218",2012,"Honda","Accord","9900","93079","3.8  "
"219",2010,"Porsche","Panamera","24790","141256","4.8  "
"220",2013,"Audi","Q7","27900","27686","3.8  "
"221",2018,"Land","Rover","62848","15459","4.6  "
"222",2010,"Toyota","RAV4","8700","147625","4.8  "
"223",2013,"Mercedes","Benz","20997","79106","4.9  "
"224",2016,"Ford","F","27994","32982","4.8  "
"225",2009,"Cadillac","DTS","15995","17051","5  "
"226",2018,"smart","ForTwo","25510",NA,"4.9  "
"227",2015,"Mercedes","Benz","27498","37723","4.9  "
"228",2000,"Toyota","4Runner","6991","139497","4.4  "
"229",2010,"BMW","X5","25995","74835","5  "
"230",2009,"Subaru","Forester","8991","82237","4.4  "
"231",2017,"Ford","Escape","17650","22028","4.8  "
"232",2018,"Dodge","Challenger","30610","8291","4.7  "
"233",2018,"Lexus","LC","78498","6201","4.8  "
"234",2006,"Ford","Expedition","7499","40000","5  "
"235",2017,"Ford","F","39497","26882","4.8  "
"236",2015,"Mercedes","Benz","20995","49146","4.8  "
"237",2016,"BMW","X5","49995","11474","4.8  "
"238",2007,"Honda","CR","7297","137640","4.3  "
"239",2015,"BMW","X5","33460","50105","4.8  "
"240",2009,"Subaru","Forester","6697","124124","5  "
"241",2015,"Audi","A8","40995","17528","4.8  "
"242",2010,"Maserati","GranTurismo","41985","19115","4.8  "
"243",2016,"Audi","TTS","38000","15920","4.8  "
"244",2016,"Audi","A7","41995","23168","4.8  "
"245",2016,"Volkswagen","Golf","32000","15993","4.7  "
"246",2007,"Audi","A4","4993","133110","5  "
"247",2016,"Tesla","Model","69900","33367","5  "
"248",2009,"Toyota","Yaris","3987","160191","4.8  "
"249",2018,"Audi","Q7","58442","7549","4.8  "
"250",2008,"Audi","A4","9995","77433","5  "
"251",2015,"Lexus","RX","25220","5","4.8  "
"252",2005,"Honda","CR","5412","118391","4.7  "
"253",2014,"BMW","750","27998","44649","4.9  "
"254",1995,"Lexus","LS","4957","129670","4.3  "
"255",2003,"Audi","A4","7995","39775",NA
"256",2012,"Audi","A7","21590","74282","3  "
"257",2007,"Mercedes","Benz","13900","41560","4.9  "
"258",2008,"Ford","Crown","4995","51894","3.3  "
"259",2012,"Volkswagen","GTI","10000","104870","5  "
"260",2011,"Volvo","S60","9995","79992","5  "
"261",2008,"Honda","Civic","7995","78578","5  "
"262",2017,"BMW","ALPINA","115000","1939","3  "
"263",2012,"Honda","Civic","12000","80036","5  "
"264",2015,"Chevrolet","Tahoe","34783","70543","4.9  "
"265",2005,"Nissan","350Z","7699","129704",NA
"266",2017,"Cadillac","CTS","69875","3859","4.4  "
"267",2013,"FIAT","500","10595","46194","4.9  "
"268",2008,"BMW","X3","10000","71786","3.1  "
"269",2012,"Audi","Q5","16487","77274","4.8  "
"270",2009,"Honda","Accord","8000","93396","3.1  "
"271",2014,"Hyundai","Santa","14395","29324","4.9  "
"272",2005,"Toyota","4Runner","17990","50475","4.7  "
"273",2013,"Audi","S6","31990","71448","4.7  "
"274",2014,"Jeep","Wrangler","19990","87301","4.7  "
"275",2011,"Toyota","Sequoia","19990","98595","4.7  "
"276",2015,"Audi","S3","27795","48064","4.6  "
"277",2013,"Audi","A5","18995","45297","4.6  "
"278",2015,"Lexus","ES","26998","33100","4.8  "
"279",2011,"Audi","A4","9500","94149","5  "
"280",2006,"Ford","Expedition","6995","102745","4.7  "
"281",2013,"Ford","Explorer","17987","59753","4.5  "
"282",2015,"Honda","Accord","13988","36258",NA
"283",2005,"Jeep","Wrangler","12500","95553","5  "
"284",2016,"Jeep","Wrangler","36990","18532","4.9  "
"285",2008,"Mazda","Mazda6","4300","108197","2  "
"286",2015,"Kia","Sportage","14870","38434","4.8  "
"287",2006,"Porsche","Boxster","17990","63200","4.9  "
"288",2012,"BMW","328","17190","60953","4.9  "
"289",2011,"Toyota","Avalon","13990","50557","4.9  "
"290",2000,"Honda","Civic","1599","218648","4.4  "
"291",2013,"Chevrolet","Cruze","8995","65277","5  "
"292",2016,"Hyundai","Tucson","19590","11480","4.7  "
"293",1995,"Chevrolet","Camaro","5295","85713",NA
"294",2018,"Ford","F","47900","19324","4.7  "
"295",2012,"Ford","E350","17985","143119","5  "
"296",2015,"Honda","Accord","14495","10181","4.7  "
"297",2016,"Audi","A3","21500","29388","4.9  "
"298",2011,"BMW","750","19999","39954","4.6  "
"299",2014,"Chrysler","200","9500","47645","5  "
"300",2017,"Ford","F","26500","35119","4.9  "
"301",2015,"Audi","S4","37721","14856","4.6  "
"302",2013,"Ford","Escape","9988","60091","4.8  "
"303",2010,"Hyundai","Elantra","4850","88635","5  "
"304",2010,"Subaru","Forester","5000","152806","3.5  "
"305",2008,"BMW","M3","20950","61970","4  "
"306",2010,"Ford","F","16995","99776","3.8  "
"307",2010,"Ford","F","19495","77708","5  "
"308",2014,"Toyota","Tundra","29472","82084","4.5  "
"309",2015,"Ford","F","29999","26260","4.3  "
"310",2001,"Ford","Mustang","13995","38589","5  "
"311",2001,"Ford","F","9999","92134","4.8  "
"312",2010,"Chevrolet","Impala","5990","79954",NA
"313",2004,"Volkswagen","R32","13997","121974","5  "
"314",2002,"Toyota","4Runner","2498","327162","4.8  "
"315",2010,"Nissan","Xterra","6984","141013","4.3  "
"316",2008,"Mercedes","Benz","9977","104901","4.5  "
"317",2005,"Saturn","Ion","6500","13219","4.5  "
"318",2008,"Honda","Accord","7995","79741","5  "
"319",2004,"Honda","Accord","7990","45023","4.8  "
"320",2015,"BMW","M6","55900","22041","3.8  "
"321",2010,"Lexus","GX","25948","67470","4.6  "
"322",2008,"Maserati","GranTurismo","36995","36341","5  "
"323",2015,"Audi","Q7","33900","27133","3.8  "
"324",2018,"smart","ForTwo","25260",NA,"4.9  "
"325",2004,"Nissan","350Z","6995","115000","4.2  "
"326",2010,"Toyota","Highlander","13970","94071","4.9  "
"327",2018,"smart","ForTwo","28600",NA,"4.4  "
"328",2006,"BMW","530","4600","112796","5  "
"329",2014,"Cadillac","CTS","19333","38998","4.9  "
"330",2016,"Jaguar","XJ","45990","18884","4.9  "
"331",2008,"Ford","Explorer","9495","121892","4.9  "
"332",2015,"Ford","F","29474","36792","4.9  "
"333",2014,"Ford","Escape","13523","31435","4.9  "
"334",2001,"Cadillac","Eldorado","1995","122752","4.4  "
"335",2007,"BMW","328","7179","97752","4.8  "
"336",2015,"Mercedes","Benz","38995","29565","5  "
"337",1996,"Chevrolet","Corvette","12432","29595","4.8  "
"338",2016,"Audi","A7","44990","21255","4.8  "
"339",2015,"Porsche","Cayman","68998","6996","4.9  "
"340",2018,"Jaguar","F","41995","8071","4.8  "
"341",2015,"Land","Rover","29495","19835","4.8  "
"342",2009,"Nissan","GT","61000","34801","4.7  "
"343",2007,"Toyota","Camry","10000","59005","4.7  "
"344",2009,"Volkswagen","Jetta","5488","105417","4.8  "
"345",2016,"Audi","S3","34583","14899","4.8  "
"346",2015,"Audi","S4","34490","38781","4.8  "
"347",2015,"Nissan","Frontier","17500","57206","4.9  "
"348",2013,"Toyota","Tacoma","21457","78328","4.3  "
"349",2015,"RAM","1500","23495","50449","3.9  "
