"","Ratings","Year","Make","Model","Price","Mileage"
"264","4.7  ",2018,"Jeep","Wrangler","42642","1647"
"265","4.7  ",2016,"Subaru","WRX","25924","29450"
"266","4.8  ",2016,"Chevrolet","Colorado","21499","44018"
"267","4.8  ",2018,"Ford","Explorer","45237",NA
"268","4.7  ",2012,"Chevrolet","Silverado","19980","60386"
"269","4.7  ",2016,"Toyota","Land","59980","44671"
"270","4.7  ",2010,"Lincoln","MKS","12984","56322"
"271","4.8  ",2012,"Toyota","FJ","25953","79486"
"272","4.9  ",2015,"Subaru","WRX","31998","20544"
"273","4.9  ",2017,"Subaru","Legacy","24880","15164"
"274","4.8  ",2018,"Chevrolet","Silverado","56980","12758"
"275","4.8  ",2016,"Chevrolet","Impala","19980","51136"
"276","4.9  ",2015,"Volvo","S60","16990","32398"
"277","4.7  ",2013,"Jeep","Grand","37499","41466"
"278","4.9  ",2016,"Volvo","XC90","36500","39140"
"279","4.8  ",2016,"Toyota","Highlander","31950","25494"
"280","4.8  ",2016,"Chevrolet","Corvette","43644","1618"
"281","3.9  ",2016,"Toyota","Tacoma","28912","41534"
"282","4.9  ",2011,"BMW","328","13995","57006"
"283","4.7  ",2017,"Hyundai","Santa","20757","15274"
"284","4.9  ",2013,"Ford","F","26908","63546"
"285","4.9  ",2013,"Dodge","Challenger","31222","4632"
"286","4  ",2016,"Volkswagen","Jetta","15500","12095"
"287","4.6  ",2016,"Kia","Optima","14712","13596"
"288","4.7  ",2016,"Hyundai","Elantra","13421","38372"
"289","4.7  ",2016,"Jeep","Grand","22154","39279"
"290","4.7  ",2014,"Chevrolet","Impala","10000","95917"
"291","4.7  ",2011,"Honda","CR","7900","158661"
"292","4.9  ",2018,"FIAT","500X","29932",NA
"293","4.9  ",2016,"Nissan","Titan","40955","10992"
"294","3.7  ",2018,"Hyundai","Tucson","22332",NA
"295","3.7  ",2018,"Hyundai","Tucson","26155",NA
"296","4.9  ",2018,"Ford","F","33995","10653"
"297","4.9  ",2019,"Acura","TLX","43795",NA
"298","4.8  ",2019,"Chevrolet","Silverado","48072",NA
"299","4.8  ",2014,"Chevrolet","Silverado","24977","69394"
"300","4.8  ",2018,"GMC","Sierra","39499","9645"
"301","4.6  ",2016,"BMW","535","32993","49749"
"302","4.6  ",2015,"BMW","X1","23449","25740"
"303","4.6  ",2015,"BMW","X5","39489","36209"
"304","4.8  ",2018,"Audi","A4","51335",NA
"305","4.9  ",2014,"Jeep","Compass","13688","49183"
"306","4.8  ",2019,"Ford","Transit","34673",NA
"307","4.9  ",2017,"INFINITI","QX80","47995","22560"
"308","4.8  ",2018,"Mazda","CX","26254",NA
"309","4.8  ",2017,"Mazda","CX","27555","59876"
"310","4.7  ",2019,"Kia","Stinger","43378",NA
"311","4.6  ",2011,"Subaru","Legacy","8495","99222"
"312","4.9  ",2016,"Subaru","Legacy","22872","24562"
"313","4.8  ",2010,"Chevrolet","Suburban","22977","137105"
"314","4.8  ",2016,"Honda","Pilot","24798","35096"
"315","4.8  ",2015,"Honda","CR","18490","28706"
"316","4.5  ",2018,"Kia","Optima","17343",NA
"317","5  ",2015,"Chevrolet","Silverado","13995","87281"
"318","5  ",2015,"Chevrolet","Silverado","27995","27006"
"319","4.9  ",2014,"Nissan","Pathfinder","18999","22933"
"320","4.8  ",2017,"Toyota","Camry","15831","46100"
"321","4.8  ",2015,"Toyota","RAV4","18281","38378"
"322","5  ",2018,"GMC","Sierra","36730","5100"
"323","4.9  ",2017,"Honda","HR","22532","8666"
"324","4.7  ",2016,"Jeep","Wrangler","28980","42782"
"325","4.8  ",2015,"Nissan","Altima","13284","42439"
"326","4.7  ",2015,"Maserati","GranTurismo","57998","31985"
"327","4.7  ",2016,"Honda","CR","25899","9405"
"328","4.6  ",2009,"MINI","Cooper","6649","82013"
"329","4.8  ",2016,"Toyota","Tacoma","27990","50190"
"330","4.9  ",2018,"Volkswagen","Tiguan","31144",NA
"331","4.4  ",2017,"Volvo","XC90","58470","16259"
"332","4.4  ",2013,"Audi","RS","43500","26779"
"333","4.8  ",2015,"Honda","Civic","14778","47107"
"334","4.8  ",2013,"Honda","Civic","9998","84645"
"335","4.9  ",2019,"Ford","Mustang","38945",NA
"336","4.9  ",2018,"Chevrolet","Tahoe","53995","5583"
"337","4.9  ",2015,"Chevrolet","Silverado","30995","24647"
"338","5  ",2013,"Subaru","XV","13788","84028"
"339","4.8  ",2016,"Toyota","Camry","25950","22302"
"340","4.8  ",2015,"Toyota","Prius","17950","46647"
"341","4.8  ",2016,"Toyota","Corolla","15950","10864"
"342","4.9  ",2012,"Cadillac","SRX","13497","100062"
"343","4.9  ",2016,"BMW","640","42900","18303"
"344","4.9  ",2018,"Volvo","V90","68425",NA
"345","5  ",2019,"Chevrolet","Silverado","53295",NA
"346","4.8  ",2019,"Acura","RDX","48795",NA
"347","3.5  ",2005,"Porsche","911","33788","45295"
"348","3.5  ",2016,"Acura","ILX","15998","37656"
"349","4.8  ",2015,"Ford","F","34900","24357"
"350","4.9  ",2015,"Toyota","4Runner","25480","72520"
"351","4.9  ",2018,"Toyota","Sienna","33970","5366"
"352","4.7  ",2018,"Jeep","Wrangler","34228",NA
"353","4.7  ",2015,"Jeep","Grand","23977","42836"
"354","4.6  ",2015,"GMC","Acadia","22999","38832"
"355","4.6  ",2017,"Chevrolet","Tahoe","41879","44678"
"356","5  ",2014,"Cadillac","XTS","19998","49783"
"357","5  ",2016,"Chevrolet","Impala","14998","24510"
"358","4.7  ",2017,"Honda","Pilot","32890","14261"
"359","4.9  ",2015,"BMW","M5","56987","20728"
"360","4.8  ",2015,"Ford","Explorer","24995","46505"
"361","4.8  ",2018,"Ford","Fusion","33993",NA
"362","4.8  ",2014,"Ford","Flex","20999","33818"
"363","4.9  ",2018,"Lincoln","Navigator","101775",NA
"364","4.7  ",2016,"Toyota","RAV4","22995","24703"
"365","4.7  ",2015,"Toyota","Tundra","32488","64311"
"366","4.7  ",2015,"Toyota","Highlander","26250","25800"
"367","4.7  ",2008,"Honda","Accord","8490","98350"
"368","4.8  ",2011,"Lexus","GX","20998","105815"
"369","4.8  ",2004,"Lexus","ES","5998","140938"
"370","4.7  ",2014,"BMW","X3","22388","25598"
"371","4.9  ",2016,"Mazda","Mazda6","16880","35505"
"372","4.6  ",2018,"Ford","F","63792",NA
"373","4.8  ",2014,"Toyota","4Runner","24951","81589"
"374","4.8  ",2018,"Honda","Accord","26675",NA
"375","4.8  ",2009,"Toyota","Camry","7604","99678"
"376","4.8  ",2018,"Hyundai","Tucson","24750",NA
"377","3.3  ",2017,"Jeep","Cherokee","18750","25516"
"378","4.4  ",2018,"Nissan","Armada","56014",NA
"379","4.9  ",2017,"RAM","1500","36874","15357"
"380","4.6  ",2013,"Cadillac","ATS","14494","64005"
"381","4.9  ",2017,"Nissan","Rogue","18499","34593"
"382","4.7  ",2018,"Mitsubishi","Outlander","33024",NA
"383","4.7  ",2016,"Mitsubishi","Outlander","19433",NA
"384","4.9  ",2019,"Volvo","S90","56800",NA
"385","4.9  ",2019,"RAM","1500","59761",NA
"386","4.9  ",2019,"RAM","1500","49664",NA
"387","4.9  ",2017,"Chrysler","Pacifica","33893",NA
"388","3.7  ",2018,"Hyundai","Sonata","19494",NA
"389","3.7  ",2018,"Hyundai","Elantra","21355",NA
"390","3.7  ",2018,"Hyundai","Tucson","22386",NA
"391","3.7  ",2018,"Hyundai","Sonata","20848",NA
"392","3.7  ",2018,"Hyundai","Sonata","19494",NA
"393","4.9  ",2019,"Acura","TLX","43795",NA
"394","5  ",2014,"Kia","Cadenza","14900","57306"
"395","5  ",2013,"Mercedes","Benz","20600","48499"
"396","4.8  ",2012,"Honda","CR","13995","66726"
"397","4.6  ",2018,"Jeep","Wrangler","36270",NA
"398","4.8  ",2019,"Chevrolet","Silverado","53284",NA
"399","4.9  ",2017,"INFINITI","Q60","41000","15585"
"400","5  ",2017,"Chevrolet","Suburban","64345",NA
"401","4.9  ",2018,"Mazda","Mazda6","23895",NA
"402","4.6  ",2018,"BMW","X2","45445",NA
"403","4.6  ",2015,"BMW","535","28575","59512"
"404","4.6  ",2008,"Buick","LaCrosse","6991","53761"
"405","4.8  ",2018,"Mazda","CX","25520",NA
"406","4.7  ",2018,"Kia","Sedona","30702",NA
"407","4.8  ",2018,"Mazda","CX","27269",NA
"408","4.7  ",2019,"Kia","Sorento","34530",NA
"409","4.6  ",2013,"Hyundai","Elantra","7000","87273"
"410","4.7  ",2019,"Kia","Optima","25894",NA
"411","4.8  ",2018,"Mazda","CX","26254",NA
"412","4.7  ",2019,"Kia","Sorento","39525",NA
"413","4.9  ",2016,"Toyota","Land","63989","37066"
"414","4.8  ",2015,"Mercedes","Benz","31760","6815"
"415","4.8  ",2006,"Chevrolet","Silverado","18312","83177"
"416","4.5  ",2018,"Kia","Sportage","20781",NA
"417","4.9  ",2013,"Subaru","XV","14995","61949"
"418","4.9  ",2015,"Subaru","Forester","17995","24563"
"419","4.5  ",2018,"Kia","Optima","18615",NA
"420","4.5  ",2015,"Dodge","Challenger","31916","33168"
"421","4.4  ",2015,"Dodge","Charger","13989","67453"
"422",NA,2018,"Mitsubishi","Eclipse","20897",NA
"423",NA,2018,"Mitsubishi","Outlander","23297",NA
"424","4.9  ",2010,"Toyota","Highlander","13904","94071"
"425","4.8  ",2014,"Land","Rover","26941","23116"
"426","4.9  ",2013,"Lexus","ES","14025","125721"
"427","5  ",2018,"Mercedes","Benz","51997","7614"
"428","5  ",2017,"Mercedes","Benz","40993","46943"
"429","4.8  ",2013,"Ford","Fusion","11875","57332"
"430","3.8  ",2016,"Chevrolet","Malibu","13777","22643"
"431","3.8  ",2019,"Chevrolet","Silverado","53738",NA
"432","4.8  ",2016,"Honda","Pilot","28701","35682"
"433","4.8  ",2018,"Honda","Accord","26675",NA
"434","4.9  ",2015,"Lincoln","MKS","27232","14573"
"435","4.9  ",2017,"GMC","Sierra","60895","21156"
"436","4.9  ",2018,"Ford","F","39998","12575"
"437","4.8  ",2016,"Honda","Pilot","27998","30934"
"438","4.9  ",2019,"Chevrolet","Traverse","53815",NA
"439","4.8  ",2019,"Honda","Pilot","37225",NA
"440","4.9  ",2017,"Lincoln","Continental","38250","21909"
"441","4.9  ",2017,"INFINITI","QX70","39098","2656"
"442","4.9  ",2019,"Lincoln","Nautilus","57410",NA
"443","4.8  ",2018,"Honda","Accord","36690",NA
"444","5  ",2014,"Honda","Crosstour","18788","65417"
"445","4.9  ",2016,"Lexus","GX","43987","14511"
"446","4.8  ",2014,"Mercedes","Benz","24500","56895"
"447","4.9  ",2015,"Lexus","LS","43987","23594"
"448","4.9  ",2019,"Volvo","XC90","59830",NA
"449","4.3  ",2016,"Acura","MDX","29598","33613"
"450","4.8  ",2016,"Toyota","Camry","17950","25026"
"451","4.3  ",2013,"Acura","TL","18498","43528"
"452","5  ",2015,"Maserati","GranTurismo","66250","5461"
"453","4.9  ",2018,"Jeep","Compass","24495",NA
